date,time,source_ip,http_method,path,attack_type,raw_log
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,491 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /general.php?header]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,512 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /index2.php?oldal]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,544 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /default.php?sivu]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,567 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /pagina.php?path]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,590 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /session/adminlogin]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,608 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /include.php?*%5B*%5D*]"
2026-01-15,14:19:12,192.168.1.16,GET,/display_item.asp?id,unknown,"2026-01-15 14:19:12,611 (glastopf.glastopf) 192.168.1.16 requested GET /display_item.asp?id on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/general.php?left,unknown,"2026-01-15 14:19:12,638 (glastopf.glastopf) 192.168.1.16 requested GET /general.php?left on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/big.php?pathtotemplate,unknown,"2026-01-15 14:19:12,647 (glastopf.glastopf) 192.168.1.16 requested GET /big.php?pathtotemplate on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/testcgi,unknown,"2026-01-15 14:19:12,662 (glastopf.glastopf) 192.168.1.16 requested GET /testcgi on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/manage/cgi/cgiproc,unknown,"2026-01-15 14:19:12,676 (glastopf.glastopf) 192.168.1.16 requested GET /manage/cgi/cgiproc on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/standard.php?lang,unknown,"2026-01-15 14:19:12,688 (glastopf.glastopf) 192.168.1.16 requested GET /standard.php?lang on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/index2.php?incl,unknown,"2026-01-15 14:19:12,702 (glastopf.glastopf) 192.168.1.16 requested GET /index2.php?incl on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,748 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /display_item.asp?id]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,773 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /general.php?left]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,789 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /big.php?pathtotemplate]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,804 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /testcgi]"
2026-01-15,14:19:12,192.168.1.16,GET,/storie.php?id,unknown,"2026-01-15 14:19:12,832 (glastopf.glastopf) 192.168.1.16 requested GET /storie.php?id on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/cgiirc.config,unknown,"2026-01-15 14:19:12,863 (glastopf.glastopf) 192.168.1.16 requested GET /cgiirc.config on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/*.php?f,unknown,"2026-01-15 14:19:12,878 (glastopf.glastopf) 192.168.1.16 requested GET /*.php?f on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/start.php?tipo,unknown,"2026-01-15 14:19:12,897 (glastopf.glastopf) 192.168.1.16 requested GET /start.php?tipo on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/start.php?in,unknown,"2026-01-15 14:19:12,922 (glastopf.glastopf) 192.168.1.16 requested GET /start.php?in on 192.168.1.11:8080"
